name,sex,age,height,weight,team,noc,year,season,sport,medal
Angeliki Karapataki,F,29.0,170,58,Greece,GRE,2004,Summer,Water Polo,Silver
Tom Karas,M,29.0,200,97,Czech Republic,CZE,2004,Summer,Rowing,Silver
Wadysaw Kara,M,42.0,173,70,Poland,POL,1936,Summer,Shooting,Bronze
Sergey Vasilyevich Karasyov,M,18.0,203,80,Russia,RUS,2012,Summer,Basketball,Bronze
Valery Nikolayevich Karasyov,M,22.0,168,65,Soviet Union,URS,1968,Summer,Gymnastics,Silver
Olga Dmitryievna Karasyova (Kharlova-),F,19.0,164,55,Soviet Union,URS,1968,Summer,Gymnastics,Gold
Oleg Nikolayevich Karavayev,M,24.0,161,57,Soviet Union,URS,1960,Summer,Wrestling,Gold
Irina Vladimirovna Karavayeva,F,25.0,165,52,Russia,RUS,2000,Summer,Trampolining,Gold
Marek Karbarz,M,25.0,188,80,Poland,POL,1976,Summer,Volleyball,Gold
Amiran Kardanov,M,24.0,162,54,Greece,GRE,2000,Summer,Wrestling,Bronze
Murat Nausbiyevich Kardanov,M,29.0,178,76,Russia,RUS,2000,Summer,Wrestling,Gold
Aleksandr Aleksandrovich Karelin,M,20.0,193,99,Soviet Union,URS,1988,Summer,Wrestling,Gold
Aleksandr Aleksandrovich Karelin,M,24.0,193,99,Unified Team,EUN,1992,Summer,Wrestling,Gold
Aleksandr Aleksandrovich Karelin,M,28.0,193,99,Russia,RUS,1996,Summer,Wrestling,Gold
Aleksandr Aleksandrovich Karelin,M,32.0,193,99,Russia,RUS,2000,Summer,Wrestling,Silver
Anna Vasilyevna Kareyeva,F,31.0,185,85,Russia,RUS,2008,Summer,Handball,Silver
Elvina Khaydaryanovna Karimova,F,22.0,166,62,Russia,RUS,2016,Summer,Water Polo,Bronze
Karin Rodrigues,F,28.0,187,77,Brazil,BRA,2000,Summer,Volleyball,Bronze
Ayumi Karino,F,23.0,160,57,Japan,JPN,2008,Summer,Softball,Gold
Julius Kariuki,M,27.0,181,62,Kenya,KEN,1988,Summer,Athletics,Gold
Paul Tetsuhiko Kariya,M,19.0,178,78,Canada,CAN,1994,Winter,Ice Hockey,Silver
Paul Tetsuhiko Kariya,M,27.0,178,78,Canada,CAN,2002,Winter,Ice Hockey,Gold
Jouko Kalevi Karjalainen,M,23.0,183,73,Finland,FIN,1980,Winter,Nordic Combined,Silver
Jouko Kalevi Karjalainen,M,27.0,183,73,Finland,FIN,1984,Winter,Nordic Combined,Silver
Benjamin Martin Karl,M,24.0,186,90,Austria,AUT,2010,Winter,Snowboarding,Silver
Benjamin Martin Karl,M,28.0,186,90,Austria,AUT,2014,Winter,Snowboarding,Bronze
Charles George Karle,M,30.0,183,79,United States,USA,1928,Summer,Rowing,Silver
Larysa Oleksandrivna Karlova,F,17.0,176,67,Soviet Union,URS,1976,Summer,Handball,Gold
Larysa Oleksandrivna Karlova,F,21.0,176,67,Soviet Union,URS,1980,Summer,Handball,Gold
Larysa Oleksandrivna Karlova,F,30.0,176,67,Soviet Union,URS,1988,Summer,Handball,Bronze
Sven Tommy Karls,M,22.0,181,85,Sweden,SWE,1984,Summer,Canoeing,Silver
Erik Sven-Gunnar Karlsson,M,23.0,181,79,Sweden,SWE,2014,Winter,Ice Hockey,Silver
Eva Gunilla Karlsson (-Ohlsson),F,22.0,174,68,Sweden,SWE,1984,Summer,Canoeing,Silver
Jan Bengt Peter Karlsson,M,22.0,185,75,Sweden,SWE,1988,Summer,Cycling,Bronze
Jan Egon Karlsson,M,26.0,183,76,Sweden,SWE,1972,Summer,Wrestling,Bronze
Jan Egon Karlsson,M,26.0,183,76,Sweden,SWE,1972,Summer,Wrestling,Silver
Lars Olof Karlsson,M,27.0,178,80,Sweden,SWE,1988,Winter,Ice Hockey,Bronze
Bror Mikael Tobias Karlsson,M,31.0,196,104,Sweden,SWE,2012,Summer,Handball,Silver
Geir Karlstad,M,28.0,190,80,Norway,NOR,1992,Winter,Speed Skating,Gold
Geir Karlstad,M,28.0,190,80,Norway,NOR,1992,Winter,Speed Skating,Bronze
Ulrich Karnatz,M,23.0,192,91,East Germany,GDR,1976,Summer,Rowing,Gold
Ulrich Karnatz,M,27.0,192,91,East Germany,GDR,1980,Summer,Rowing,Gold
Anna Olegovna Karnaukh,F,22.0,173,61,Russia,RUS,2016,Summer,Water Polo,Bronze
Artras Karniovas,M,20.0,203,96,Lithuania,LTU,1992,Summer,Basketball,Bronze
Artras Karniovas,M,24.0,203,96,Lithuania,LTU,1996,Summer,Basketball,Bronze
Gyrgy Krpti,M,17.0,167,71,Hungary,HUN,1952,Summer,Water Polo,Gold
Gyrgy Krpti,M,21.0,167,71,Hungary,HUN,1956,Summer,Water Polo,Gold
Gyrgy Krpti,M,25.0,167,71,Hungary,HUN,1960,Summer,Water Polo,Bronze
Gyrgy Krpti,M,29.0,167,71,Hungary,HUN,1964,Summer,Water Polo,Gold
Rudolf Krpti,M,28.0,179,64,Hungary,HUN,1948,Summer,Fencing,Gold
Rudolf Krpti,M,31.0,179,64,Hungary,HUN,1952,Summer,Fencing,Gold
Rudolf Krpti,M,36.0,179,64,Hungary,HUN,1956,Summer,Fencing,Gold
Rudolf Krpti,M,36.0,179,64,Hungary,HUN,1956,Summer,Fencing,Gold
Rudolf Krpti,M,40.0,179,64,Hungary,HUN,1960,Summer,Fencing,Gold
Rudolf Krpti,M,40.0,179,64,Hungary,HUN,1960,Summer,Fencing,Gold
Gennady Mikhaylovich Karponosov,M,29.0,173,66,Soviet Union-1,URS,1980,Winter,Figure Skating,Gold
Dmitry Vasilyevich Karpov,M,23.0,198,98,Kazakhstan,KAZ,2004,Summer,Athletics,Bronze
Yelena Viktorovna Karpova,F,24.0,188,73,Russia,RUS,2004,Summer,Basketball,Bronze
Klaes Karppinen,M,28.0,164,60,Finland,FIN,1936,Winter,Cross Country Skiing,Gold
Pertti Johannes Karppinen,M,23.0,201,100,Finland,FIN,1976,Summer,Rowing,Gold
Pertti Johannes Karppinen,M,27.0,201,100,Finland,FIN,1980,Summer,Rowing,Gold
Pertti Johannes Karppinen,M,31.0,201,100,Finland,FIN,1984,Summer,Rowing,Gold
Marina Germanovna Karpunina,F,24.0,178,73,Russia,RUS,2008,Summer,Basketball,Bronze
Sylvia Jeanne Alice Karres,F,27.0,163,58,Netherlands,NED,2004,Summer,Hockey,Silver
George Karrys,M,30.0,180,82,Canada,CAN,1998,Winter,Curling,Silver
Monika Karsch,F,33.0,158,55,Germany,GER,2016,Summer,Shooting,Silver
Aleksandr Vladimirovich Karshakevich,M,21.0,184,87,Soviet Union,URS,1980,Summer,Handball,Silver
Aleksandr Vladimirovich Karshakevich,M,29.0,184,87,Soviet Union,URS,1988,Summer,Handball,Gold
Horst Karsten,M,28.0,170,65,Germany,GER,1964,Summer,Equestrianism,Bronze
Horst Karsten,M,36.0,170,65,West Germany,FRG,1972,Summer,Equestrianism,Bronze
Anke Karstens,F,28.0,175,65,Germany,GER,2014,Winter,Snowboarding,Silver
Gerben Karstens,M,22.0,178,74,Netherlands,NED,1964,Summer,Cycling,Gold
Anatoly Nikolayevich Kartashov,M,23.0,180,78,Soviet Union,URS,1960,Summer,Water Polo,Silver
Alyona Vladimirovna Kartashova,F,26.0,164,63,Russia,RUS,2008,Summer,Wrestling,Silver
Michelle Karvinen,F,19.0,166,69,Finland,FIN,2010,Winter,Ice Hockey,Bronze
Aki Tapani Karvonen,M,26.0,176,70,Finland,FIN,1984,Winter,Cross Country Skiing,Silver
Aki Tapani Karvonen,M,26.0,176,70,Finland,FIN,1984,Winter,Cross Country Skiing,Bronze
Aki Tapani Karvonen,M,26.0,176,70,Finland,FIN,1984,Winter,Cross Country Skiing,Bronze
Veikko Leo Karvonen,M,30.0,165,54,Finland,FIN,1956,Summer,Athletics,Bronze
"Zakharoula ""Zara"" Karyami",F,17.0,166,43,Greece,GRE,2000,Summer,Rhythmic Gymnastics,Bronze
Masae Kasai (-Nakamura),F,31.0,174,63,Japan,JPN,1964,Summer,Volleyball,Gold
Noriaki Kasai,M,21.0,176,60,Japan,JPN,1994,Winter,Ski Jumping,Silver
Noriaki Kasai,M,41.0,176,60,Japan,JPN,2014,Winter,Ski Jumping,Silver
Noriaki Kasai,M,41.0,176,60,Japan,JPN,2014,Winter,Ski Jumping,Bronze
Shigeru Kasamatsu,M,25.0,173,59,Japan,JPN,1972,Summer,Gymnastics,Gold
Shigeru Kasamatsu,M,25.0,173,59,Japan,JPN,1972,Summer,Gymnastics,Bronze
Shigeru Kasamatsu,M,25.0,173,59,Japan,JPN,1972,Summer,Gymnastics,Silver
Shigeru Kasamatsu,M,25.0,173,59,Japan,JPN,1972,Summer,Gymnastics,Bronze
Tams Kss,M,24.0,200,94,Hungary,HUN,2000,Summer,Water Polo,Gold
Tams Kss,M,28.0,200,94,Hungary,HUN,2004,Summer,Water Polo,Gold
Tams Kss,M,32.0,200,94,Hungary,HUN,2008,Summer,Water Polo,Gold
Zoltn Kss,M,25.0,190,87,Hungary,HUN,1972,Summer,Water Polo,Silver
Aleksey Viktorovich Kasatonov,M,20.0,180,84,Soviet Union,URS,1980,Winter,Ice Hockey,Silver
