name,sex,age,height,weight,team,noc,year,season,sport,medal
Vctor Claver Arocas,M,23.0,206,107,Spain,ESP,2012,Summer,Basketball,Silver
Vctor Claver Arocas,M,27.0,206,107,Spain,ESP,2016,Summer,Basketball,Bronze
John Richard Clawson,M,24.0,193,91,United States,USA,1968,Summer,Basketball,Gold
Bryan Ezra Tsumoru Clay,M,24.0,180,83,United States,USA,2004,Summer,Athletics,Silver
Bryan Ezra Tsumoru Clay,M,28.0,180,83,United States,USA,2008,Summer,Athletics,Gold
"Cassius Marcellus Clay, Jr.",M,18.0,187,80,United States,USA,1960,Summer,Boxing,Gold
John Henry Clay,M,25.0,191,79,Great Britain,GBR,1980,Summer,Rowing,Silver
"Jonathan Davis ""Jonny"" Clay",M,37.0,180,72,Great Britain,GBR,2000,Summer,Cycling,Bronze
"William Bundu ""Will"" Claye",M,21.0,181,72,United States,USA,2012,Summer,Athletics,Bronze
"William Bundu ""Will"" Claye",M,21.0,181,72,United States,USA,2012,Summer,Athletics,Silver
"William Bundu ""Will"" Claye",M,25.0,181,72,United States,USA,2016,Summer,Athletics,Silver
Jacob Clear,M,27.0,185,86,Australia,AUS,2012,Summer,Canoeing,Gold
"Robert Barry ""Bobby"" Cleary, Sr.",M,23.0,178,76,United States,USA,1960,Winter,Ice Hockey,Gold
"William John ""Bill"" Cleary, Jr.",M,21.0,178,79,United States,USA,1956,Winter,Ice Hockey,Silver
"William John ""Bill"" Cleary, Jr.",M,25.0,178,79,United States,USA,1960,Winter,Ice Hockey,Gold
Tammy P. Cleland-McGregor,F,20.0,172,59,United States,USA,1996,Summer,Synchronized Swimming,Gold
"Elspeth Catherine Clement (Swain-, -Denning)",F,31.0,163,56,Australia,AUS,1988,Summer,Hockey,Gold
Kerron Stephon Clement,M,22.0,188,86,United States,USA,2008,Summer,Athletics,Silver
Kerron Stephon Clement,M,22.0,188,86,United States,USA,2008,Summer,Athletics,Gold
Kerron Stephon Clement,M,30.0,188,86,United States,USA,2016,Summer,Athletics,Gold
Kyle Clemons,M,25.0,180,74,United States,USA,2016,Summer,Athletics,Gold
"Jonathan Thomas ""Jon"" Cleveland",M,21.0,178,73,Canada,CAN,1992,Summer,Swimming,Bronze
Leslie Cliff (-Tindle),F,17.0,173,60,Canada,CAN,1972,Summer,Swimming,Silver
Robert John Clift,M,26.0,182,77,Great Britain,GBR,1988,Summer,Hockey,Gold
Marion Clignet,F,32.0,170,60,France,FRA,1996,Summer,Cycling,Silver
Marion Clignet,F,36.0,170,60,France,FRA,2000,Summer,Cycling,Silver
Fernando Climent Huerta,M,26.0,179,72,Spain,ESP,1984,Summer,Rowing,Silver
Roger Closset,M,23.0,172,70,France,FRA,1956,Summer,Fencing,Silver
"Robert Lynn ""Bob"" Clotworthy",M,21.0,160,60,United States,USA,1952,Summer,Diving,Bronze
"Robert Lynn ""Bob"" Clotworthy",M,25.0,160,60,United States,USA,1956,Summer,Diving,Gold
"Robert ""Bobby"" Cloughen",M,19.0,179,76,United States,USA,1908,Summer,Athletics,Silver
lodie Pascaline Clouvel,F,27.0,182,69,France,FRA,2016,Summer,Modern Pentathlon,Silver
Lesaw mikiewicz,M,24.0,172,71,Poland,POL,1972,Summer,Football,Gold
Lesaw mikiewicz,M,27.0,172,71,Poland,POL,1976,Summer,Football,Silver
Alice Marie Coachman (-Davis),F,24.0,170,58,United States,USA,1948,Summer,Athletics,Gold
Beatrice Nicoleta Coad-Claru,F,25.0,170,64,Romania,ROU,2000,Summer,Swimming,Silver
Beatrice Nicoleta Coad-Claru,F,25.0,170,64,Romania,ROU,2000,Summer,Swimming,Bronze
Allen James Coage,M,32.0,188,114,United States,USA,1976,Summer,Judo,Bronze
Marion Janice Coakes (-Mould),F,21.0,165,60,Great Britain,GBR,1968,Summer,Equestrianism,Silver
William Coales,M,22.0,167,56,Great Britain,GBR,1908,Summer,Athletics,Gold
Janet Marie Cobbs (-Mulholland),F,25.0,183,70,United States,USA,1992,Summer,Volleyball,Bronze
Brien William Baxter Cobcroft,M,34.0,177,72,Australia,AUS,1968,Summer,Equestrianism,Bronze
Annelise Coberger,F,20.0,178,71,New Zealand,NZL,1992,Winter,Alpine Skiing,Silver
Miguelina Cobin Hechavarra,F,26.0,170,63,Cuba,CUB,1968,Summer,Athletics,Silver
Ignacio Cobos Vidal,M,30.0,183,90,Spain,ESP,1996,Summer,Hockey,Silver
Emma Jane Coburn,F,25.0,173,54,United States,USA,2016,Summer,Athletics,Bronze
Jean-Paul tienne Gustave Coche,M,25.0,174,80,France,FRA,1972,Summer,Judo,Bronze
Barbara Ann Cochran (-Williams),F,21.0,154,50,United States,USA,1972,Winter,Alpine Skiing,Gold
"Commodore Shelton ""Com"" Cochran",M,22.0,185,75,United States,USA,1924,Summer,Athletics,Gold
"Richard Lee ""Dick"" Cochran",M,22.0,195,102,United States,USA,1960,Summer,Athletics,Bronze
Neil Cochran,M,19.0,174,70,Great Britain,GBR,1984,Summer,Swimming,Bronze
Neil Cochran,M,19.0,174,70,Great Britain,GBR,1984,Summer,Swimming,Bronze
"Leroy Braxton ""Roy"" Cochran",M,29.0,178,70,United States,USA,1948,Summer,Athletics,Gold
"Leroy Braxton ""Roy"" Cochran",M,29.0,178,70,United States,USA,1948,Summer,Athletics,Gold
Ryan Andrew Cochrane,M,19.0,192,80,Canada,CAN,2008,Summer,Swimming,Bronze
Ryan Andrew Cochrane,M,23.0,192,80,Canada,CAN,2012,Summer,Swimming,Silver
Karen Cockburn (-Turgeon),F,19.0,161,55,Canada,CAN,2000,Summer,Trampolining,Bronze
Karen Cockburn (-Turgeon),F,23.0,161,55,Canada,CAN,2004,Summer,Trampolining,Silver
Karen Cockburn (-Turgeon),F,27.0,161,55,Canada,CAN,2008,Summer,Trampolining,Silver
Roxana Daniela Coco,F,23.0,158,68,Romania,ROU,2012,Summer,Weightlifting,Silver
Roman Codreanu,M,23.0,194,146,Romania,ROU,1976,Summer,Wrestling,Bronze
"Sebastian Newbold ""Seb"" Coe",M,23.0,175,54,Great Britain,GBR,1980,Summer,Athletics,Silver
"Sebastian Newbold ""Seb"" Coe",M,23.0,175,54,Great Britain,GBR,1980,Summer,Athletics,Gold
"Sebastian Newbold ""Seb"" Coe",M,27.0,175,54,Great Britain,GBR,1984,Summer,Athletics,Silver
"Sebastian Newbold ""Seb"" Coe",M,27.0,175,54,Great Britain,GBR,1984,Summer,Athletics,Gold
"William Wesley Coe, Jr.",M,26.0,178,95,United States,USA,1904,Summer,Athletics,Silver
Jonathan Coeffic,M,27.0,190,91,France,FRA,2008,Summer,Rowing,Bronze
Andrzej Bogdan Cofalik,M,27.0,170,81,Poland,POL,1996,Summer,Weightlifting,Bronze
Calvin Thomas Coffey,M,25.0,188,91,United States,USA,1976,Summer,Rowing,Silver
"Edmund Sloane ""Tad"" Coffin",M,21.0,180,66,United States,USA,1976,Summer,Equestrianism,Gold
"Edmund Sloane ""Tad"" Coffin",M,21.0,180,66,United States,USA,1976,Summer,Equestrianism,Gold
Corey Cogdell-Unrein,F,21.0,173,70,United States,USA,2008,Summer,Shooting,Bronze
Corey Cogdell-Unrein,F,29.0,173,70,United States,USA,2016,Summer,Shooting,Bronze
Veronica Cogeanu-Cochela,F,22.0,175,78,Romania,ROU,1988,Summer,Rowing,Silver
Veronica Cogeanu-Cochela,F,22.0,175,78,Romania,ROU,1988,Summer,Rowing,Bronze
Veronica Cogeanu-Cochela,F,26.0,175,78,Romania,ROU,1992,Summer,Rowing,Silver
Veronica Cogeanu-Cochela,F,26.0,175,78,Romania,ROU,1992,Summer,Rowing,Silver
Veronica Cogeanu-Cochela,F,30.0,175,78,Romania,ROU,1996,Summer,Rowing,Gold
Veronica Cogeanu-Cochela,F,34.0,175,78,Romania,ROU,2000,Summer,Rowing,Gold
Juan Lus Coghen Alberdingk-Thijm,M,21.0,182,79,Spain,ESP,1980,Summer,Hockey,Silver
Mercedes Coghen Alberdingk-Thijm,F,29.0,170,55,Spain,ESP,1992,Summer,Hockey,Gold
Roxana Gabriela Cogianu,F,29.0,180,72,Romania,ROU,2016,Summer,Rowing,Bronze
Ottavio Cogliati,M,21.0,173,69,Italy,ITA,1960,Summer,Cycling,Gold
"Donald Smith ""Don"" Cohan",M,42.0,178,82,United States,USA,1972,Summer,Sailing,Bronze
Nathan Cohen,M,26.0,184,87,New Zealand,NZL,2012,Summer,Rowing,Gold
"Alexandra Pauline ""Sasha"" Cohen",F,21.0,157,43,United States,USA,2006,Winter,Figure Skating,Silver
"Tiffany Lisa Cohen (-Adams, -Lalonde)",F,18.0,175,63,United States,USA,1984,Summer,Swimming,Gold
"Tiffany Lisa Cohen (-Adams, -Lalonde)",F,18.0,175,63,United States,USA,1984,Summer,Swimming,Gold
Harvey Wright Cohn,M,23.0,172,61,United States,USA,1908,Summer,Athletics,Silver
Norman Cudworth Cohn-Armitage,M,41.0,185,81,United States,USA,1948,Summer,Fencing,Bronze
Adelina Maria Cojocariu-Bogus,F,27.0,186,75,Romania,ROU,2016,Summer,Rowing,Bronze
Christeana Cojocaru (-Matei),F,22.0,172,62,Romania,ROU,1984,Summer,Athletics,Bronze
Trevor Ivan Coker,M,22.0,192,87,New Zealand,NZL,1972,Summer,Rowing,Gold
Trevor Ivan Coker,M,26.0,192,87,New Zealand,NZL,1976,Summer,Rowing,Bronze
Massimo Colaci,M,31.0,180,75,Italy,ITA,2016,Summer,Volleyball,Silver
LaTasha Lavon Colander-Richardson (-Clark),F,24.0,168,52,United States,USA,2000,Summer,Athletics,Gold
Thibault Colard,M,24.0,187,70,France,FRA,2016,Summer,Rowing,Bronze
Fabrice Edmond Paul Colas,M,20.0,181,78,France,FRA,1984,Summer,Cycling,Bronze
"Briony Christine ""Bree"" Cole",F,25.0,160,50,Australia,AUS,2008,Summer,Diving,Silver
"Charles ""Charlie"" Cole",M,26.0,194,90,United States,USA,2012,Summer,Rowing,Bronze
"Gerrard Eugene ""Gene"" Cole",M,23.0,182,78,United States,USA,1952,Summer,Athletics,Silver
"Stanley Clark ""Stan"" Cole",M,26.0,186,86,United States,USA,1972,Summer,Water Polo,Bronze
Warren Joseph Cole,M,28.0,184,82,New Zealand,NZL,1968,Summer,Rowing,Gold
Lynn Ann Colella,F,22.0,170,61,United States,USA,1972,Summer,Swimming,Silver
"Richard Phillip ""Rick"" Colella, Jr.",M,24.0,186,82,United States,USA,1976,Summer,Swimming,Bronze
"Vernell Eufaye ""Bimbo"" Coles",M,20.0,185,79,United States,USA,1988,Summer,Basketball,Bronze
Giovanni Battista Coletti,M,27.0,179,77,Italy,ITA,1976,Summer,Fencing,Silver
Daniel M. Colla,M,24.0,195,80,Argentina,ARG,1988,Summer,Volleyball,Bronze
Wayne Curtis Collett,M,22.0,188,84,United States,USA,1972,Summer,Athletics,Silver
Jeanne Ellen Collier (-Sitzberger),F,18.0,156,48,United States,USA,1964,Summer,Diving,Silver
John Sheldon Collier,M,20.0,185,75,United States,USA,1928,Summer,Athletics,Bronze
Andrea Collinelli,M,27.0,185,77,Italy,ITA,1996,Summer,Cycling,Gold
Ross Hounsell Collinge,M,23.0,187,85,New Zealand,NZL,1968,Summer,Rowing,Gold
Ross Hounsell Collinge,M,27.0,187,85,New Zealand,NZL,1972,Summer,Rowing,Silver
Maria Consolata Collino,F,28.0,173,67,Italy,ITA,1976,Summer,Fencing,Silver
Christine Smith Collins,F,31.0,170,58,United States,USA,2000,Summer,Rowing,Bronze
"Daniel James ""Danny"" Collins",M,25.0,190,100,Australia,AUS,1996,Summer,Canoeing,Bronze
"Daniel James ""Danny"" Collins",M,29.0,190,100,Australia,AUS,2000,Summer,Canoeing,Silver
David Collins,M,26.0,183,70,United States,USA,1996,Summer,Rowing,Bronze
"Paul Douglas ""Doug"" Collins",M,21.0,198,82,United States,USA,1972,Summer,Basketball,Silver
Roland Collombin,M,20.0,174,80,Switzerland,SUI,1972,Winter,Alpine Skiing,Silver
Fabricio Coloccini,M,22.0,182,79,Argentina,ARG,2004,Summer,Football,Gold
Dario Alonzo Cologna,M,23.0,179,74,Switzerland,SUI,2010,Winter,Cross Country Skiing,Gold
Dario Alonzo Cologna,M,27.0,179,74,Switzerland,SUI,2014,Winter,Cross Country Skiing,Gold
Dario Alonzo Cologna,M,27.0,179,74,Switzerland,SUI,2014,Winter,Cross Country Skiing,Gold
Carlos Coloma Nicols,M,34.0,171,65,Spain,ESP,2016,Summer,Cycling,Bronze
Bruna Giulia Colombetti-Peroncini,F,24.0,173,75,Italy,ITA,1960,Summer,Fencing,Bronze
Jrgen Colombo,M,22.0,175,74,West Germany,FRG,1972,Summer,Cycling,Gold
Luca Colombo,M,22.0,190,78,Italy,ITA,1992,Summer,Cycling,Silver
Jos Colomer Rivas,M,25.0,185,86,Spain,ESP,1960,Summer,Hockey,Bronze
Mara Caridad Coln Ruees-Salazar,F,22.0,169,66,Cuba,CUB,1980,Summer,Athletics,Gold
Alva Merlin Colquhoun,F,18.0,169,61,Australia,AUS,1960,Summer,Swimming,Silver
"William Norman ""Bill"" Colvin",M,21.0,175,75,Canada,CAN,1956,Winter,Ice Hockey,Bronze
Nadia Elena Comneci (-Conner),F,14.0,162,45,Romania,ROU,1976,Summer,Gymnastics,Gold
Nadia Elena Comneci (-Conner),F,14.0,162,45,Romania,ROU,1976,Summer,Gymnastics,Silver
Nadia Elena Comneci (-Conner),F,14.0,162,45,Romania,ROU,1976,Summer,Gymnastics,Bronze
Nadia Elena Comneci (-Conner),F,14.0,162,45,Romania,ROU,1976,Summer,Gymnastics,Gold
Nadia Elena Comneci (-Conner),F,14.0,162,45,Romania,ROU,1976,Summer,Gymnastics,Gold
Nadia Elena Comneci (-Conner),F,18.0,162,45,Romania,ROU,1980,Summer,Gymnastics,Silver
Nadia Elena Comneci (-Conner),F,18.0,162,45,Romania,ROU,1980,Summer,Gymnastics,Silver
Nadia Elena Comneci (-Conner),F,18.0,162,45,Romania,ROU,1980,Summer,Gymnastics,Gold
Nadia Elena Comneci (-Conner),F,18.0,162,45,Romania,ROU,1980,Summer,Gymnastics,Gold
Adam David Commens,M,24.0,166,74,Australia,AUS,2000,Summer,Hockey,Bronze
Deborah Compagnoni,F,21.0,165,62,Italy,ITA,1992,Winter,Alpine Skiing,Gold
Deborah Compagnoni,F,23.0,165,62,Italy,ITA,1994,Winter,Alpine Skiing,Gold
Deborah Compagnoni,F,27.0,165,62,Italy,ITA,1998,Winter,Alpine Skiing,Gold
Deborah Compagnoni,F,27.0,165,62,Italy,ITA,1998,Winter,Alpine Skiing,Silver
Flvio da Conceio,M,22.0,177,74,Brazil,BRA,1996,Summer,Football,Bronze
Robson Donato Conceio,M,27.0,171,57,Brazil,BRA,2016,Summer,Boxing,Gold
Carin Alice Cone (-Vanderbush),F,16.0,167,59,United States,USA,1956,Summer,Swimming,Silver
"Malcolm ""Mac"" Cone",M,55.0,188,82,Canada,CAN,2008,Summer,Equestrianism,Silver
Gary Robert Conelly,M,19.0,189,79,United States,USA,1972,Summer,Swimming,Gold
Gary Robert Conelly,M,19.0,189,79,United States,USA,1972,Summer,Swimming,Gold
Diego Confalonieri,M,29.0,190,78,Italy,ITA,2008,Summer,Fencing,Bronze
Antonella Confortola-Wyatt,F,30.0,170,51,Italy,ITA,2006,Winter,Cross Country Skiing,Bronze
Cong Xuedi,F,21.0,166,58,China,CHN,1984,Summer,Basketball,Bronze
Cong Xuedi,F,29.0,166,58,China,CHN,1992,Summer,Basketball,Silver
"John ""Jack"" Conger",M,21.0,193,80,United States,USA,2016,Summer,Swimming,Gold
Michael John Conlan,M,20.0,170,56,Ireland,IRL,2012,Summer,Boxing,Bronze
"Michael Alexander ""Mike"" Conley",M,21.0,185,78,United States,USA,1984,Summer,Athletics,Silver
"Michael Alexander ""Mike"" Conley",M,29.0,185,78,United States,USA,1992,Summer,Athletics,Gold
Paul Joseph D. Conlin,M,25.0,177,79,Canada,CAN,1968,Winter,Ice Hockey,Bronze
"Barthold Wayne ""Bart"" Conner",M,26.0,165,58,United States,USA,1984,Summer,Gymnastics,Gold
"Barthold Wayne ""Bart"" Conner",M,26.0,165,58,United States,USA,1984,Summer,Gymnastics,Gold
Dennis Walter Conner,M,33.0,186,89,United States,USA,1976,Summer,Sailing,Bronze
"Harold Vincent ""Hal"" Connolly",M,25.0,183,106,United States,USA,1956,Summer,Athletics,Gold
James Joseph Connolly,M,24.0,172,61,United States,USA,1924,Summer,Athletics,Bronze
James Brendan Bennet Connolly,M,27.0,175,72,United States,USA,1896,Summer,Athletics,Silver
James Brendan Bennet Connolly,M,27.0,175,72,United States,USA,1896,Summer,Athletics,Bronze
James Brendan Bennet Connolly,M,27.0,175,72,United States,USA,1896,Summer,Athletics,Gold
James Brendan Bennet Connolly,M,31.0,175,72,United States,USA,1900,Summer,Athletics,Silver
"Richard Carroll ""Dick"" Connor",M,22.0,167,64,United States,USA,1956,Summer,Diving,Bronze
Keith Leroy Connor,M,26.0,186,78,Great Britain,GBR,1984,Summer,Athletics,Bronze
Lars Conrad,M,28.0,187,80,Germany,GER,2004,Summer,Swimming,Silver
Reinaldo Conrad,M,26.0,179,78,Brazil,BRA,1968,Summer,Sailing,Bronze
Reinaldo Conrad,M,34.0,179,78,Brazil,BRA,1976,Summer,Sailing,Bronze
"Anthony Joseph ""Tony"" Conroy",M,24.0,174,70,United States,USA,1920,Summer,Ice Hockey,Silver
Adolfo Consolini,M,31.0,183,100,Italy,ITA,1948,Summer,Athletics,Gold
Adolfo Consolini,M,35.0,183,100,Italy,ITA,1952,Summer,Athletics,Silver
Mariana Constantin,F,15.0,160,46,Romania,ROU,1976,Summer,Gymnastics,Silver
Maria Constantinescu,F,24.0,179,75,Romania,ROU,1980,Summer,Rowing,Bronze
Hugo Nstor Conte,M,25.0,197,90,Argentina,ARG,1988,Summer,Volleyball,Bronze
Javier Alberto Conte,M,25.0,165,64,Argentina,ARG,2000,Summer,Sailing,Bronze
Francesca Cristiana Conti,F,32.0,179,71,Italy,ITA,2004,Summer,Water Polo,Gold
Pier Angelo Conti-Manzini,M,22.0,178,82,Italy,ITA,1968,Summer,Rowing,Bronze
Dalia Contreras Rivero,F,24.0,155,49,Venezuela,VEN,2008,Summer,Taekwondo,Bronze
Jos Ariel Contreras Camejo,M,24.0,191,107,Cuba,CUB,1996,Summer,Baseball,Gold
Jos Ariel Contreras Camejo,M,28.0,191,107,Cuba,CUB,2000,Summer,Baseball,Silver
Pablo Andrs Contreras Fica,M,22.0,180,77,Chile,CHI,2000,Summer,Football,Bronze
Gianfranco Contri,M,22.0,184,76,Italy,ITA,1992,Summer,Cycling,Silver
Hollis Conway,M,21.0,183,68,United States,USA,1988,Summer,Athletics,Silver
Hollis Conway,M,25.0,183,68,United States,USA,1992,Summer,Athletics,Bronze
Sally Conway,F,29.0,167,70,Great Britain,GBR,2016,Summer,Judo,Bronze
"Edward ""Ed"" Coode",M,29.0,193,96,Great Britain,GBR,2004,Summer,Rowing,Gold
"Edward Tiffin ""Ed"" Cook, Jr.",M,19.0,178,66,United States,USA,1908,Summer,Athletics,Gold
Garry Peter Cook,M,26.0,185,72,Great Britain,GBR,1984,Summer,Athletics,Silver
Myrtle Alice Cook (-McGowan),F,26.0,168,55,Canada,CAN,1928,Summer,Athletics,Gold
"Stephanie ""Steph"" Cook",F,28.0,172,57,Great Britain,GBR,2000,Summer,Modern Pentathlon,Gold
Tamsin Cook,F,17.0,170,61,Australia,AUS,2016,Summer,Swimming,Silver
"Althea Kristina ""Tina"" Cook (Gifford-)",F,37.0,175,71,Great Britain,GBR,2008,Summer,Equestrianism,Bronze
"Althea Kristina ""Tina"" Cook (Gifford-)",F,37.0,175,71,Great Britain,GBR,2008,Summer,Equestrianism,Bronze
"Althea Kristina ""Tina"" Cook (Gifford-)",F,41.0,175,71,Great Britain,GBR,2012,Summer,Equestrianism,Silver
Wendy Elizabeth Cook-Hogg,F,19.0,175,64,Canada,CAN,1976,Summer,Swimming,Bronze
Allison Petra Cook-Tranquilli,F,23.0,178,69,Australia,AUS,1996,Summer,Basketball,Bronze
Allison Petra Cook-Tranquilli,F,31.0,178,69,Australia,AUS,2004,Summer,Basketball,Silver
Ian Cooke,M,24.0,181,82,Australia,AUS,1976,Summer,Hockey,Silver
John Patrick Cooke,M,19.0,183,84,United States,USA,1956,Summer,Rowing,Gold
Nicole Denise Cooke,F,25.0,167,58,Great Britain,GBR,2008,Summer,Cycling,Gold
"Alexandrea Andrea ""Alex"" Coomber (Hamilton-)",F,28.0,162,51,Great Britain,GBR,2002,Winter,Skeleton,Bronze
Andrew Dollman Cooper,M,27.0,188,92,Australia,AUS,1992,Summer,Rowing,Gold
"Bradford Paul ""Brad"" Cooper",M,18.0,160,72,Australia,AUS,1972,Summer,Swimming,Gold
Christin Elizabeth Cooper,F,24.0,170,57,United States,USA,1984,Winter,Alpine Skiing,Silver
Cynthia Lynne Cooper (-Dyke),F,25.0,178,68,United States,USA,1988,Summer,Basketball,Gold
Cynthia Lynne Cooper (-Dyke),F,29.0,178,68,United States,USA,1992,Summer,Basketball,Bronze
John Hugh Cooper,M,23.0,188,85,Great Britain,GBR,1964,Summer,Athletics,Silver
John Hugh Cooper,M,23.0,188,85,Great Britain,GBR,1964,Summer,Athletics,Silver
Kim Cooper (-Maguire),F,30.0,170,66,Australia,AUS,1996,Summer,Softball,Bronze
Malcolm Douglas Cooper,M,36.0,170,76,Great Britain,GBR,1984,Summer,Shooting,Gold
Malcolm Douglas Cooper,M,40.0,170,76,Great Britain,GBR,1988,Summer,Shooting,Gold
Iztok op,M,20.0,190,89,Slovenia,SLO,1992,Summer,Rowing,Bronze
Iztok op,M,28.0,190,89,Slovenia,SLO,2000,Summer,Rowing,Gold
Iztok op,M,32.0,190,89,Slovenia,SLO,2004,Summer,Rowing,Silver
Iztok op,M,40.0,190,89,Slovenia,SLO,2012,Summer,Rowing,Bronze
Haley Cope (-Clark),F,25.0,177,63,United States,USA,2004,Summer,Swimming,Silver
"Katherine Sarah ""Kat"" Copeland",F,21.0,172,58,Great Britain,GBR,2012,Summer,Rowing,Gold
Lillian Copeland (Drossin-),F,23.0,165,59,United States,USA,1928,Summer,Athletics,Silver
Lillian Copeland (Drossin-),F,27.0,165,59,United States,USA,1932,Summer,Athletics,Gold
Yasmani Copello Escobar,M,29.0,191,85,Turkey,TUR,2016,Summer,Athletics,Bronze
"Steven Coppola, Jr.",M,24.0,203,100,United States,USA,2008,Summer,Rowing,Bronze
Bryan Coquard,M,20.0,169,58,France,FRA,2012,Summer,Cycling,Silver
Josip orak,M,29.0,189,100,Yugoslavia,YUG,1972,Summer,Wrestling,Silver
Juan Antonio Corbaln Alfocea,M,29.0,182,84,Spain,ESP,1984,Summer,Basketball,Silver
Sofia Corban-Banovici,F,27.0,179,78,Romania,ROU,1984,Summer,Rowing,Gold
Burkhard Cordes,M,29.0,177,75,Brazil,BRA,1968,Summer,Sailing,Bronze
Kevin Cordes,M,22.0,196,88,United States,USA,2016,Summer,Swimming,Gold
"Hendrik Jan Willem ""Henk"" Cornelisse",M,23.0,178,72,Netherlands,NED,1964,Summer,Cycling,Bronze
Monique Adelinde Cornelissen,F,33.0,168,55,Netherlands,NED,2012,Summer,Equestrianism,Silver
Monique Adelinde Cornelissen,F,33.0,168,55,Netherlands,NED,2012,Summer,Equestrianism,Bronze
Charles Cornelius,M,26.0,170,65,India,IND,1972,Summer,Hockey,Bronze
Sheila Marie Cornell-Douty,F,34.0,175,81,United States,USA,1996,Summer,Softball,Gold
Sheila Marie Cornell-Douty,F,38.0,175,81,United States,USA,2000,Summer,Softball,Gold
"John Frederick ""Jerry"" Cornes",M,22.0,182,70,Great Britain,GBR,1932,Summer,Athletics,Silver
George Thomson Cornet,M,30.0,191,98,Great Britain,GBR,1908,Summer,Water Polo,Gold
George Thomson Cornet,M,34.0,191,98,Great Britain,GBR,1912,Summer,Water Polo,Gold
Lynda Ann Cornet,F,22.0,174,66,Netherlands,NED,1984,Summer,Rowing,Bronze
Alessandro Corona,M,20.0,195,95,Italy,ITA,1992,Summer,Rowing,Bronze
Jos de Jess Corona Rodrguez,M,30.0,188,83,Mexico,MEX,2012,Summer,Football,Gold
Raquel Corral Aznar,F,27.0,175,65,Spain,ESP,2008,Summer,Synchronized Swimming,Silver
Emilio Correa Vaillant,M,19.0,183,67,Cuba,CUB,1972,Summer,Boxing,Gold
Emilio Correa Bayeaux,M,22.0,180,75,Cuba,CUB,2008,Summer,Boxing,Silver
"Maritza ""Ritz"" Correia (-McClendon)",F,22.0,175,61,United States,USA,2004,Summer,Swimming,Silver
Alex Corretja Verdegay,M,26.0,180,70,Spain,ESP,2000,Summer,Tennis,Bronze
"Susan Ada ""Susie"" Corrock (-Zoberski, -Luby)",F,20.0,163,55,United States,USA,1972,Winter,Alpine Skiing,Bronze
Mirko Corsano,M,26.0,190,87,Italy,ITA,2000,Summer,Volleyball,Bronze
Robin Marie Corsiglia (-Scholefield),F,13.0,157,45,Canada,CAN,1976,Summer,Swimming,Bronze
"James Hunt ""Jim"" Corson",M,22.0,195,109,United States,USA,1928,Summer,Athletics,Bronze
Marilyn Corson (-Whitney),F,18.0,167,60,Canada,CAN,1968,Summer,Swimming,Bronze
Javier Corts Granados,M,23.0,171,70,Mexico,MEX,2012,Summer,Football,Gold
"Francisco ""Quico"" Corts Juncosa",M,25.0,181,80,Spain,ESP,2008,Summer,Hockey,Silver
Hlne Cortin,F,24.0,186,80,France,FRA,1996,Summer,Rowing,Bronze
Richard Corts,M,22.0,177,68,Germany,GER,1928,Summer,Athletics,Silver
Kreimir osi,M,19.0,209,94,Yugoslavia,YUG,1968,Summer,Basketball,Silver
Kreimir osi,M,27.0,209,94,Yugoslavia,YUG,1976,Summer,Basketball,Silver
Kreimir osi,M,31.0,209,94,Yugoslavia,YUG,1980,Summer,Basketball,Gold
Adrian Cosma,M,22.0,180,78,Romania,ROU,1972,Summer,Handball,Bronze
Adrian Cosma,M,26.0,180,78,Romania,ROU,1976,Summer,Handball,Silver
Adrian Cosma,M,30.0,180,78,Romania,ROU,1980,Summer,Handball,Bronze
"Alberto ""Albert"" Costa Casal",M,25.0,180,78,Spain,ESP,2000,Summer,Tennis,Bronze
Hctor Jos Costa Massironi,M,22.0,187,94,Uruguay,URU,1952,Summer,Basketball,Bronze
Hctor Jos Costa Massironi,M,27.0,187,94,Uruguay,URU,1956,Summer,Basketball,Bronze
Marlenis Costa Blanco,F,18.0,177,76,Cuba,CUB,1992,Summer,Volleyball,Gold
Marlenis Costa Blanco,F,22.0,177,76,Cuba,CUB,1996,Summer,Volleyball,Gold
Marlenis Costa Blanco,F,27.0,177,76,Cuba,CUB,2000,Summer,Volleyball,Gold
Charles Gustave Lonce Coste,M,24.0,180,79,France,FRA,1948,Summer,Cycling,Gold
"Bernard Patrick ""Pat"" Costello, Jr.",M,27.0,188,84,United States,USA,1956,Summer,Rowing,Silver
Paul Vincent Costello,M,25.0,178,73,United States,USA,1920,Summer,Rowing,Gold
Paul Vincent Costello,M,29.0,178,73,United States,USA,1924,Summer,Rowing,Gold
Paul Vincent Costello,M,33.0,178,73,United States,USA,1928,Summer,Rowing,Gold
Daniela Costian,F,27.0,182,84,Australia,AUS,1992,Summer,Athletics,Bronze
"Candace ""Candy"" Costie (-Burke, -Merrill)",F,21.0,162,50,United States,USA,1984,Summer,Synchronized Swimming,Gold
Tanguy Cosyns,M,25.0,174,70,Belgium,BEL,2016,Summer,Hockey,Silver
Aubert Ct,M,27.0,160,52,Canada,CAN,1908,Summer,Wrestling,Bronze
"Paul Thomas Ct, II",M,28.0,190,89,Canada,CAN,1972,Summer,Sailing,Bronze
Aleksandra Cotti,F,27.0,167,65,Italy,ITA,2016,Summer,Water Polo,Silver
